title|member|summary|year|age|information|genre|image|name(OTT)
오월의 청춘|이도현, 고민시, 이상이, 금새록 外|1980년 5월, 역사의 소용돌이 한가운데 운명처럼 서로에게 빠져버린 희태와 명희의 아련한 봄 같은 사랑 이야기를 담은 레트로 휴먼 멜로드라마|2021|15|12부작|PERIOD, ROMANCE, MELO, FAMILY|youthofmay.png|WAVVE
너는 나의 봄|서현진, 김동욱, 윤박 外|저마다의 일곱 살을 가슴에 품은 채 '어른'이라는 이름으로 살아가는 이들이 살인사건이 일어난 건물에 모여 살게 되며 시작되는 이야기|2021|15|16부작|HEALING, ROMANCE, CRIME|yourmyspring.png|NETFLIX, TVING
간 떨어지는 동거|장기용, 혜리, 강한나, 김도완, 배인혁 外|999살 구미호 신우여와 쿨내나는 99년생 요즘 인간 이담이 구슬로 인해 얼떨결에 한집 살이를 하며 펼치는 비인간적 로맨틱 코미디|2021|15|16부작|ROMANCE, COMEDY, CAMPUS|myroommategumiho.png|TVING
알고있지만,|한소희, 송강 外|사랑은 못 믿어도 연애는 하고 싶은 여자 유나비와 연애는 성가셔도 썸은 타고 싶은 남자 박재언의 로맨스를 그린 드라마|2021|19|10부작|ROMANCE, COMEDY, CAMPUS|nevertheless.png|NETFLIX, TVING
술꾼도시여자들|이선빈, 한선화, 정은지, 최시원 外|하루 끝의 술 한 잔이 인생의 신념인 세 여자의 일상을 그린 본격 기승전술 드라마|2021|19|12부작|COMEDY, FRIENDSHIP, DRAMA|wldn.png|TVING
멜랑꼴리아|임수정, 이도현, 진경 外|특혜 비리의 온상인 한 사립고를 배경으로, 수학 천재와 교사의 통념과 편견을 뛰어넘는, 수학보다 아름다운 이야기|2021|15|16부작|ROMANCE, ACADEMY, REVENGE|melancholia.png|NETFLIX, TVING
갯마을 차차차|신민아, 김선호, 이상이 外|현실주의 치과의사 윤혜진과 만능 백수 홍반장이 짠내 사람내음 가득한 바닷마을 ‘공진’에서 벌이는 티키타카 힐링 로맨스|2021|15|16부작|ROMANCE, COMEDY, HUMAN, HEALING|chachacha.png|NETFLIX, TVING
유미의 세포들|김고은, 안보현 外|세포들과 함께 먹고 사랑하고 성장하는 평범한 유미(김고은 분)의 이야기를 그린 세포 자극 공감 로맨스|2021|15|14부작|DAILY, ROMANCE|yumicell.png|TVING
그 해 우리는|최우식, 김다미, 김성철, 노정의 外|함께해서 더러웠고 다신 보지 말자!로 끝났어야 할 인연이 10년이 흘러 카메라 앞에 강제 소환 되어 펼쳐지는 청춘 다큐를 가장한 아찔한 로맨스 드라마|2021|15|16부작|ROMANCE, GROWTH, HEALING|ourbelovedsummer.png|NETFLIX, WAVVE
나의 해방일지|이민기, 김지원, 손석구, 이엘 外|견딜 수 없이 촌스런 삼남매의 견딜 수 없이 사랑스러운 행복소생기|2022|15|16부작|HUMAN, FAMILY, ROMANCE, COMEDY, OFFICE, NOIR, HEALING|myliberationnote.png|NETFLIX, TVING
우리들의 블루스|이병헌, 신민아, 차승원, 이정은, 한지민, 김우빈, 김혜자, 고두심, 엄정화, 박지환, 최영준, 배현성, 노윤서, 기소유 外|삶의 끝자락, 절정 혹은 시작에 서 있는 모든 사람들의 달고도 쓴 인생을 응원하는 드라마|2022|15|20부작|DRAMA, ROMANCE, FAMILY, DAILY, OMNIBUS, HUMAN|ourblues.png|NETFLIX, TVING
스물다섯 스물하나|김태리, 남주혁, 김지연, 최현욱, 이주명 外|1998년, 시대에게 꿈을 빼앗긴 청춘들의 방황과 성장을 그린 청량로맨스|2022|15|16부작|YOUTH, GROWTH, DRAMA, PERIOD|2521.png|NETFLIX, TVING
기상청 사람들 : 사내연애 잔혹사 편|박민영, 송강, 윤박, 유라 外|열대야보다 뜨겁고 국지성 호우보다 종잡을 수 없는 기상청 사람들의 일과 사랑을 그린 직장 로맨스 드라마|2022|15|16부작|OFFICE, ROMANCE, COMEDY, FAMILY|forcastingpeople.png|NETFLIX, TVING
사내맞선|안효섭, 김세정, 김민규, 설인아 外|“부캐의 정체가 발각되면 본캐는 해고?” 얼굴 천재 능력남 CEO와 정체를 속인 맞선녀 직원의 스릴 가득 ‘퇴사 방지’ 오피스 로맨스|2022|15|12부작|ROMANCE, COMEDY, OFFICE|businessproposal.png|NETFLIX, WAVVE
별똥별|이성경, 김영대, 윤종훈, 김윤혜, 박소진, 이정신 外|하늘의 별과 같은 스타들의 뒤에서 그들을 빛나게 하기 위해 피, 땀, 눈물을 흘리는 사람들의 리얼한 현장 이야기를 그린 로맨틱 코미디|2022|15|16부작|ROMANCE, COMEDY|shootingstar.png|NETFLIX, TVING
왜 오수재인가|서현진, 황인엽, 허준호, 배인혁, 지승현, 이주우 外|‘살기 위해, 가장 위에서, 더 독하게’ 성공만을 좇다 속이 텅 비어버린 차가운 변호사 오수재와 그런 그녀를 지키기 위해서라면 무엇도 두렵지 않은 로스쿨 학생 공찬의 아프지만 설레는 이야기|2022|15|16부작|MYSTERY, COURT, ROMANCE|whyher.png|COUPANGPLAY, WAVVE
유미의 세포들 시즌2|김고은, 박진영, 안보현 外|세포들과 함께 먹고 사랑하고 성장하는 평범한 유미의 이야기를 그린 세포 자극 공감 로맨스|2022|15|14부작|DAILY, ROMANCE|yumicell2.png|TVING
이상한 변호사 우영우|박은빈, 강태오, 강기영, 전배수, 백지원, 진경, 주현영, 하윤경, 주종혁 外|천재적인 두뇌와 자폐스펙트럼을 동시에 가진 신입 변호사 우영우(박은빈 분)의 대형 로펌 생존기|2022|15|16부작|COURT, HUMAN, OFFICE, COMEDY, GROWTH, DRAMA|wyw.png|NETFLIX
작은 아씨들|김고은, 남지현, 박지후, 위하준, 엄지원, 엄기준 外|가난하지만 우애 있게 자란 세 자매가 대한민국에서 제일 부유하고 유력한 가문에 각자의 방식으로 맞서는 이야기|2022|15|12부작|CRIME, MYSTERY, THRILLER, NOIR, SUSPENSE, DRAMA, ROMANCE, BLACK COMEDY|littlewomen.png|NETFLIX, TVING
블라인드|옥택연, 하석진, 정은지 外|억울한 피해자가 된 평범한 시민들과 불편한 진실에 눈감은 가해자들의 이야기|2022|15|16부작|CRIME, MYSTERY, THRILLER, COURT, HUMAN|blind.png|TVING
금수저|육성재, 이종원, 정채연, 연우, 최원영 外|가난한 집에서 태어난 아이가 우연히 얻게 된 금수저를 통해 부잣집에서 태어난 친구와 운명을 바꿔 후천적 금수저가 된 인생 어드벤처 이야기|2022|15|16부작|FANTASY, ROMANCE, MELO, REVENGE, CRIME, MYSTERY, THRILLER, NOIR|goldspoon.png|WAVVE, DISNEYPLUS
술꾼도시여자들2|이선빈, 한선화, 정은지, 최시원 外|하루 끝의 술 한잔이 인생의 신념인 세 여자의 일상을 그린 본격 '기승전술' 드라마, 그 두 번째 이야기|2022|19|12부작|COMEDY, FRIENDSHIP, DRAMA|지우2.png|TVING
더 글로리|송혜교, 이도현, 임지연, 염혜란, 박성훈, 정성일, 김히어라, 차주영, 김건우 外|유년 시절 폭력으로 영혼까지 부서진 한 여자가 온 생을 걸어 치밀하게 준비한 처절한 복수와 그 소용돌이에 빠져드는 이들의 이야기|2022|19|16부작|CRIME, DRAMA, THRILLER, NOIR, MYSTERY, SUSPENSE, REVENGE, HUMAN|theglory.png|NETFLIX
마이 데몬|김유정, 송강, 이상이, 김해숙, 조혜주 外|‘악마 같은’ 재벌 상속녀 도도희와 한순간 능력을 잃어버린 ‘악마’ 구원이 계약 결혼을 하며 벌어지는 판타지 로맨틱 코미디|2023|15|16부작|ROMANCE, COMEDY, FANTASY, THRILLER, FAMILY|mydemon.png|NETFLIX, WAVVE, UPLUS
연인|남궁민, 안은진, 이청아, 이학주, 이다인 外|병자호란을 겪으며 엇갈리는 연인들의 사랑과 백성들의 생명력을 다룬 휴먼역사멜로 드라마|2023|15|21부작|HISTORICAL, ROMANCE, HUMAN, DRAMA|mydear.png|WAVVE
대행사|이보영, 손나은, 조성하, 한준우, 전혜진, 이창훈 外|VC그룹 최초로 여성 임원이 된 '고아인'이 최초를 넘어 최고의 위치까지 자신의 커리어를 만들어가는 모습을 그린 우아하게 처절한 광고대행사 오피스 드라마|2023|15|16부작|OFFICE, GROWTH, HUMAN, DRAMA|agency.png|NETFLIX, TVING
일타 스캔들|전도연, 정경호, 노윤서, 오의식, 이봉련 外|사교육 전쟁터에서 펼쳐지는 국가대표 반찬가게 열혈 사장과 대한민국 수학 일타 강사의 달콤 쌉싸름한 로맨스|2023|15|16부작|ROMANCE, ACADEMY, COMEDY|ccir.png|NETFLIX, TVING
나쁜엄마|라미란, 이도현, 안은진, 유인수 外|자식을 위해 악착같이 나쁜 엄마가 될 수 밖에 없었던 ‘영순’과 아이가 되어버린 아들 ‘강호’가 잃어버린 행복을 찾아가는 감동의 힐링 코미디|2023|15|14부작|FAMILY, HUMAN, REVENGE, ROMANCE, COMEDY|badmom.png|NETFLIX, TVING, UPLUS
어쩌다 마주친, 그대|김동욱, 진기주, 서지혜, 이원정 外|1987년에 갇혀버린 두 남녀의 이상하고 아름다운 시간 여행기|2023|15|16부작|FANTASY, ROMANCE, MYSTERY, THRILLER, NOIR, FAMILY|myperfectstranger.png|COUPANGPLAY, WAVVE
구미호뎐 1938|이동욱, 김소연, 김범, 류경수 外|1938년 혼돈의 시대에 불시착한 구미호가 현대로 돌아가기 위해 펼치는 K-판타지 액션 활극|2023|15|12부작|PERIOD, FANTASY, HORROR, ACTION, NOIR, COMEDY|ninetailfox1938.png|TVING
이로운 사기|천우희, 김동욱, 윤박, 박소진, 이연, 유희재, 홍승범 外|공감불능 사기꾼과 과공감 변호사, 너무나 다른 두 사람의 절대악을 향한 복수극이자 짜릿한 공조 사기극|2023|15|16부작|CRIME, REVENGE, DRAMA, COURT|dd.png|TVING
이번생도 잘 부탁해|신혜선, 안보현, 하윤경, 안동구 外|"""19회차 인생 로맨스의 최대 라이벌은 18회차의 나?"" 전생을 기억하는 ‘반지음’이 꼭 만나야만 하는 '문서하'를 찾아가면서 펼쳐지는 저돌적 환생 로맨스"|2023|15|12부작|FANTASY, ROMANCE, COMEDY|seeyouinmy19thlife.png|NETFLIX, TVING
킹더랜드|이준호, 임윤아, 고원희, 김가은, 안세하, 김재원 外|웃음을 경멸하는 남자 구원과 웃어야만 하는 스마일 퀸 천사랑이 호텔리어들의 꿈인 VVIP 라운지 '킹더랜드'에서 진짜 환하게 웃을 수 있는 날을 만들어가는 이야기|2023|15|16부작|ROMANCE, COMEDY, OFFICE, HUMAN|kingtheland.png|NETFLIX, TVING
이 연애는 불가항력|조보아, 로운, 하준, 유라 外|3백여 년 전 철저히 봉인되었던 금서를 얻게 된 말단 공무원 이홍조와 그 금서의 희생양이 된 변호사 장신유의 불가항력적 로맨스|2023|15|16부작|ROMANCE, COMEDY, FANTASY, OFFICE, THRILLER|destinedwithyou.png|NETFLIX, TVING, UPLUS
정신병동에도 아침이 와요|박보영, 연우진, 장동윤, 이정은 外|정신건강의학과 근무를 처음 하게 된 간호사 다은이 정신병동 안에서 만나는 세상과 마음 시린 사람들의 다양한 이야기|2023|15|12부작|HEALING, HUMAN|ddos.png|NETFLIX
이두나!|수지, 양세종 外|평범한 대학생 원준이 셰어하우스에서 화려한 K-POP 아이돌 시절을 뒤로 하고 은퇴한 두나를 만나게 되며 벌어지는 이야기를 담은 로맨스 드라마|2023|15|9부작|ROMANCE, YOUTH|doona.png|NETFLIX
비질란테(Vigilante)|남주혁, 유지태, 이준혁, 김소진 外|낮에는 법을 수호하는 모범 경찰대생이지만, 밤이면 법망을 피한 범죄자들을 직접 심판하는 ‘비질란테’로 살아가는 김지용과 그를 둘러싸고 각기 다른 목적을 가진 사람들의 이야기를 그린 액션 스릴러|2023|19|8부작|CRIME, ACTION, THRILLER, DRAMA, NOIR, HARD-BOILED|vigilante.png|DISNEYPLUS
힘쎈여자 강남순|이유미, 김정은 김해숙, 옹성우, 변우석 外|선천적으로 어마무시한 괴력을 타고난 3대 모녀가 강남을 중심으로 벌어지는 신종마약범죄의 실체를 파헤치는 글로벌 쓰리(3) 제너레이션 프로젝트|2023|15|16부작|FANTASY, SUPER HERO, ROMANCE, COMEDY, CRIME, ACTION, NOIR|sgns.png|NETFLIX, TVING, UPLUS
소년시대|임시완, 이선빈, 이시우, 강혜원 外|1989년 충청남도, 안 맞고 사는 게 일생 일대의 목표인 온양 찌질이 병태가 하루아침에 부여 짱으로 둔갑하면서 벌어지는 이야기|2023|19|10부작|PERIOD, YOUTH, COMEDY, ACADEMY, ACTION, GROWTH, DRAMA|boyhood.png|COUPANGPLAY
하이쿠키|남지현, 최현욱, 김무열, 정다빈, 서범준, 채서은 外|한입만 먹어도 자신의 욕망을 실현시켜주는 의문의 수제쿠키가 엘리트 고등학교를 집어삼키면서 벌어지는 이야기|2023|19|20부작|ACADEMY, FANTASY, THRILLER, CRIME, NOIR, MYSTERY, PICARESQUE|highcookie.png|NETFLIX, UPLUS
이재, 곧 죽습니다|서인국, 박소담, 김지훈 外|지옥으로 떨어지기 직전의 이재가 12번의 죽음과 삶을 경험하게 되는 인생 환승 드라마|2023|19|8부작|FANTASY, THRILLER, NOIR, FAMILY, CRIME, REVENGE, HORROR, HUMAN, ACADEMY, GROWTH, ENSEMBLE CAST|soondie.png|TVING
웰컴투 삼달리|지창욱, 신혜선, 김미경, 서현철, 신동미, 강미나 外|한라산 자락 어느 개천에서 난 용 같은 삼달이 어느 날 모든 걸 잃고 곤두박질치며 추락한 뒤, 개천을 소중히 지켜온 용필과 고향의 품으로 다시 돌아와 숨을 고르는 이야기, 그리고 다시 사랑을 찾는 이야기|2023|15|16부작|ROMANCE, COMEDY, HUMAN, HEALING, DAILY, FAMILY, FRIENDSHIP|welcometosdl.png|NETFLIX, TVING, UPLUS
내 남편과 결혼해줘|박민영, 나인우, 이이경, 송하윤, 이기광 外|절친과 남편의 불륜을 목격한 날, 난 살해당했다. 그런데 눈 떠보니 10년 전?! 인생 2회차, 시궁창 같은 운명을 그들에게 돌려주는 '본격 운명 개척 드라마'|2024|15|16부작|ROMANCE, COMEDY, FANTASY, CRIME, REVENGE, OFFICE, FAMILY, SUSPENSE, MYSTERY|marrywithmyhusband.png|TVING
피라미드 게임|김지연, 장다아, 류다인, 신슬기, 강나언, 정하담 外|한 달에 한 번 비밀투표로 왕따를 뽑는 백연여고 2학년 5반, “가해자, 피해자, 방관자”가 모두 섞여버린 그곳에서 점점 더 폭력에 빠져드는 학생들의 잔혹한 서바이벌 서열 전쟁|2024|19|10부작|CRIME, ACADEMY, THRILLER, SUSPENSE|pyramidgame.png|TVING
닥터슬럼프|박형식, 박신혜, 윤박, 공성하, 오동민 外|백억 대 소송과 번아웃, 각자의 이유로 인생 최대 슬럼프에 빠진 의사들의 ‘망한 인생’ 심폐 소생기를 그린 로맨틱 코미디 드라마|2024|15|16부작|ROMANCE, COMEDY, MEDICAL, HEALING, FAMILY|doctorslump.png|NETFLIX, TVING, UPLUS
눈물의 여왕|김수현, 김지원, 박성훈, 곽동연, 이주빈 外|"""세기의 결혼... 세기의 전쟁?"" 퀸즈 그룹 재벌 3세, 백화점의 여왕 '홍해인'. 용두리 이장 아들, 슈퍼마켓 왕자 '백현우'. 3년차 부부의 아찔한 위기와 기적처럼 다시 시작되는 사랑 이야기"|2024|15|16부작|ROMANCE, COMEDY, OFFICE, HUMAN, FAMILY|queenoftear.png|NETFLIX, TVING
선재 업고 튀어|변우석, 김혜윤, 송건희, 이승협 外|"삶의 의지를 놓아버린 순간, 자신을 살게 해줬던 유명 아티스트 ""류선재"". 그의 죽음으로 절망했던 열성팬 ""임솔""이 최애를 살리기 위해 시간을 거슬러 2008년으로 돌아간다! 다시 살게 된 열아홉, 목표는 최애 류선재를 지키는 것!"|2024|15|16부작|FANTASY, ROMANCE, COMEDY, YOUTH, HEALING, FAMILY, THRILLER, CRIME|lovelyrunner.png|TVING
