title|member|summary|year|age|information|genre|image|ott
쌉니다 천리마마트|김병철, 이동휘 外|서른 살 여자 친구들의 고민, 연애, 일상을 그린 코믹 드라마|2019|15|12부작|COMEDY|pegqsusmarket.png|TVING
사랑의 불시착|현빈, 손예진, 서지혜, 김정현 外|어느 날 돌풍과 함께 패러글라이딩 사고로 북한에 불시착한 재벌 상속녀 윤세리와 그녀를 숨기고 지키다 사랑하게 되는 특급 장교 리정혁의 절대 극비 러브스토리를 그린 드라마|2019|15|16부작|ROMANCE, FANTASY, COMEDY|crashlandingonyou.png|NETFLIX, TVING
조선로코 - 녹두전|장동윤, 김소현, 강태오 外|미스터리한 과부촌에 여장을 하고 잠입한 '전녹두'와 기생이 되기 싫은 반전 있는 처자 '동동주'의 발칙하고 유쾌한 조선판 로맨틱 코미디 드라마|2019|15|32부작|HISTORICAL, ROMANCE, COMEDY|taleofnokdu.png|WAVVE
국민 여러분!|최시원, 이유영, 김민정 外|얼떨결에 경찰과 결혼한 사기꾼이 원치 않는 사건에 휘말리고 국회의원에 출마하며 벌어지는 코믹 범죄극|2019|15|36부작|CRIME, POLITICAL, COMEDY|myfellowcitizen.png|WAVVE
동백꽃 필 무렵|공효진, 강하늘 外|"편견에 갇힌 맹수 동백을 깨우는, 촌므파탈 황용식이의 폭격형 로맨스 ""사랑하면 다 돼!"" 이들을 둘러싼 생활밀착형 치정 로맨스 ""사랑 같은 소리하네."""|2019|15|40부작|ROMANCE, CRIME, COMEDY, DRAMA|camelliabloom.png|NETFLIX, WAVVE
어쩌다 발견한 하루|김혜윤, 로운, 이재욱, 이나은, 정건주, 김영대, 이태리 外|여고생 단오가 정해진 운명을 거스르고 사랑을 이뤄내는 본격 학원 로맨스 드라마|2019|15|32부작|FANTASY, ACADEMY, ROMANCE, COMEDY|extraordinaryyou.png|WAVVE, WATCHA
날 녹여주오|지창욱, 원진아, 윤세아 外|24시간 냉동 인간 프로젝트에 참여한 남녀가 미스터리한 음모로 인해 20년 후 깨어나면서 맞이하는 가슴 뜨거운 이야기|2019|15|16부작|FANTASY, ROMANCE, MYSTERY|meltingme.png|TVING
검색어를 입력하세요www|임수정, 이다희, 전혜진, 장기용, 이재욱, 지승현 外|트렌드를 이끄는 포털사이트, 그 안에서 당당하게 일하는 여자들과 그녀들의 마음을 흔드는 남자들의 리얼 로맨스|2019|15|16부작|DRAMA, OFFICE|www.png|TVING, DISNEYPLUS
그녀의 사생활|박민영, 김재욱, 안보현 外|직장에선 완벽한 큐레이터지만 알고보면 아이돌 덕후인 성덕미가 까칠한 상사 라이언을 만나며 벌어지는 본격 덕질 로맨스|2019|15|16부작|ROMANCE, COMEDY, FAMILY|herprivatelife.png|NETFLIX, TVING
눈이 부시게|김혜자, 한지민, 남주혁 外|주어진 시간을 다 써보지도 못하고 잃어버린 여자와 누구보다 찬란한 순간을 스스로 내던지고 무기력한 삶을 사는 남자, 같은 시간 속에 있지만 서로 다른 시간을 살아가는 두 남녀의 시간 이탈 로맨스|2019|15|12부작|FAMILY, ROMANCE, DRAMA, HUMAN, COMEDY|shiningmyeyes.png|NETFLIX, TVING, DISNEYPLUS
로맨스는 별책부록|이나영, 이종석, 정유진, 위하준 外|책을 만들었는데, 로맨스가 따라왔다?' 책을 읽지 않는 세상에서 책을 만드는 사람들의 이야기를 담은 로맨틱 코미디 드라마|2019|15|16부작|ROMANCE, MELO|romancebonus.png|NETFLIX, TVING
블랙독|서현진, 라미란, 하준 外|기간제 교사가 된 사회 초년생 고하늘이 우리 삶의 축소판인 '학교'에서 꿈을 지키며 살아남기 위해 고군분투하는 이야기|2019|15|16부작|HUMAN, DRAMA, HEALING, OFFICE|blackdog.png|TVING
날씨가 좋으면 찾아가겠어요|박민영, 서강준 外|서울 생활에 지쳐 북현리로 내려간 해원이, 독립 서점을 운영하는 은섭을 다시 만나게 되며 펼쳐지는 가슴 따뜻한 힐링 로맨스|2020|15|16부작|ROMANCE, HEALING|wethergood.png|NETFLIX, TVING
부부의 세계|김희애, 박해준, 한소희 外|사랑이라고 믿었던 부부의 연이 배신으로 끊어지면서 소용돌이에 빠지는 이야기|2020|19|16부작|FAMILY, MELO, THRILLER, NOIR, PICARESQUE|coupleworld.png|NETFLIX, TVING, DISNEYPLUS, WATCHA
슬기로운 의사생활|조정석, 유연석, 정경호, 김대명, 전미도 外|누군가는 태어나고 누군가는 삶을 끝내는, 인생의 축소판이라 불리는 병원에서 평범한 듯 특별한 하루하루를 살아가는 사람들과 눈빛만 봐도 알 수 있는 20년지기 친구들의 케미스토리를 담은 드라마|2020|15|12부작|DRAMA, GROWTH, MEDICAL, COMEDY|doctorlife.png|NETFLIX, TVING
펜트하우스|이지아, 김소연, 유진 外|100층 펜트하우스의 범접불가 '퀸' VS 모든 것을 집어삼키는 욕망의 '프리마돈나' VS 상류사회 입성을 향해 질주하는 '여자'. 채워질 수 없는 일그러진 욕망으로 집값 1번지, 교육 1번지에서 벌이는 부동산과 교육 전쟁!|2020|15|21부작|CRIME, THRILLER, NOIR, BLACK_COMEDY, MYSTERY, PICARESQUE|penthouse.png|COUPANGPLAY, WAVVE, WATCHA
철인왕후|신혜선, 김정현, 배종옥, 김태우, 설인아 外|불의의 사고로 대한민국 대표 허세남 영혼이 깃들어 '저 세상 텐션'을 갖게 된 중전 김소용과 두 얼굴의 임금 철종 사이에서 벌어지는 영혼가출 스캔들|2020|15|20부작|ROMANCE, COMEDY, HISTORICAL, FANTASY|mrqueen.png|NETFLIX, TVING
런 온|임시완, 신세경, 수영, 강태오 外|같은 한국말을 쓰면서도 소통이 어려운 시대, 서로 다른 세계에 살던 사람들이 각자의 언어로 소통하고 관계를 맺으며, 사랑을 향해 '런 온'하는 로맨스 드라마|2020|15|16부작|ROMANCE, COMEDY|runon.png|NETFLIX, TVING
여신강림|문가영, 차은우, 황인엽, 박유나 外|외모 콤플렉스를 가지고 있다가 '화장'을 통해 여신이 된 주경과 남모를 상처를 간직한 수호가 만나 서로의 비밀을 공유하며 성장하는 자존감 회복 로맨틱 코미디|2020|15|16부작|ROMANCE, COMEDY, ACADEMY, YOUTH|bueatycome.png|NETFLIX, TVING
스타트업|배수지, 남주혁, 김선호, 강한나 外|한국의 실리콘 밸리에서 성공을 꿈꾸며 스타트업에 뛰어든 청춘들의 시작(START)과 성장(UP)을 그린 드라마|2020|15|16부작|ROMANCE, COMEDY, YOUTH, GROWTH, OFFICE, FAMILY|startup.png|NETFLIX, TVING
구미호뎐|이동욱, 조보아, 김범 外|도시에 정착한 구미호와 그를 쫓는 프로듀서의 판타지액션로맨스|2020|15|12부작|ROMANCE, COMEDY, FANTASY, ACTION|ninetailfox.png|NETFLIX, TVING
