title|member|summary|year|age|information|genre|image|ott
너는 나의 봄|서현진, 김동욱, 윤박 外|저마다의 일곱 살을 가슴에 품은 채 '어른'이라는 이름으로 살아가는 이들이 살인사건이 일어난 건물에 모여 살게 되며 시작되는 이야기|2021|15|16부작|HEALING, ROMANCE, CRIME|yourmyspring.png|NETFLIX, TVING
간 떨어지는 동거|장기용, 혜리, 강한나, 김도완, 배인혁 外|999살 구미호 신우여와 쿨내나는 99년생 요즘 인간 이담이 구슬로 인해 얼떨결에 한집 살이를 하며 펼치는 비인간적 로맨틱 코미디|2021|15|16부작|ROMANCE, COMEDY, CAMPUS|myroommategumiho.png|TVING
알고있지만,|한소희, 송강 外|사랑은 못 믿어도 연애는 하고 싶은 여자 유나비와 연애는 성가셔도 썸은 타고 싶은 남자 박재언의 로맨스를 그린 드라마|2021|19|10부작|ROMANCE, COMEDY, CAMPUS|nevertheless.png|NETFLIX, TVING
술꾼도시여자들|이선빈, 한선화, 정은지, 최시원 外|하루 끝의 술 한 잔이 인생의 신념인 세 여자의 일상을 그린 본격 기승전술 드라마|2021|19|12부작|COMEDY, FRIENDSHIP, DRAMA|wldn.png|TVING
멜랑꼴리아|임수정, 이도현, 진경 外|특혜 비리의 온상인 한 사립고를 배경으로, 수학 천재와 교사의 통념과 편견을 뛰어넘는, 수학보다 아름다운 이야기|2021|15|16부작|ROMANCE, ACADEMY, REVENGE|melancholia.png|NETFLIX, TVING
갯마을 차차차|신민아, 김선호, 이상이 外|현실주의 치과의사 윤혜진과 만능 백수 홍반장이 짠내 사람내음 가득한 바닷마을 ‘공진’에서 벌이는 티키타카 힐링 로맨스|2021|15|16부작|ROMANCE, COMEDY, HUMAN, HEALING|chachacha.png|NETFLIX, TVING
유미의 세포들|김고은, 안보현 外|세포들과 함께 먹고 사랑하고 성장하는 평범한 유미(김고은 분)의 이야기를 그린 세포 자극 공감 로맨스|2021|15|14부작|DAILY, ROMANCE|yumicell.png|TVING
그 해 우리는|최우식, 김다미, 김성철, 노정의 外|함께해서 더러웠고 다신 보지 말자!로 끝났어야 할 인연이 10년이 흘러 카메라 앞에 강제 소환 되어 펼쳐지는 청춘 다큐를 가장한 아찔한 로맨스 드라마|2021|15|16부작|ROMANCE, GROWTH, HEALING|ourbelovedsummer.png|NETFLIX, WAVVE
나의 해방일지|이민기, 김지원, 손석구, 이엘 外|견딜 수 없이 촌스런 삼남매의 견딜 수 없이 사랑스러운 행복소생기|2022|15|16부작|HUMAN, FAMILY, ROMANCE, COMEDY, OFFICE, NOIR, HEALING|myliberationnote.png|NETFLIX, TVING
우리들의 블루스|이병헌, 신민아, 차승원, 이정은, 한지민, 김우빈, 김혜자, 고두심, 엄정화, 박지환, 최영준, 배현성, 노윤서, 기소유 外|삶의 끝자락, 절정 혹은 시작에 서 있는 모든 사람들의 달고도 쓴 인생을 응원하는 드라마|2022|15|20부작|DRAMA, ROMANCE, FAMILY, DAILY, OMNIBUS, HUMAN|ourblues.png|NETFLIX, TVING
스물다섯 스물하나|김태리, 남주혁, 김지연, 최현욱, 이주명 外|1998년, 시대에게 꿈을 빼앗긴 청춘들의 방황과 성장을 그린 청량로맨스|2022|15|16부작|YOUTH, GROWTH, DRAMA, PERIOD|2521.png|NETFLIX, TVING
기상청 사람들 : 사내연애 잔혹사 편|박민영, 송강, 윤박, 유라 外|열대야보다 뜨겁고 국지성 호우보다 종잡을 수 없는 기상청 사람들의 일과 사랑을 그린 직장 로맨스 드라마|2022|15|16부작|OFFICE, ROMANCE, COMEDY, FAMILY|forcastingpeople.png|NETFLIX, TVING
사내맞선|안효섭, 김세정, 김민규, 설인아 外|“부캐의 정체가 발각되면 본캐는 해고?” 얼굴 천재 능력남 CEO와 정체를 속인 맞선녀 직원의 스릴 가득 ‘퇴사 방지’ 오피스 로맨스|2022|15|12부작|ROMANCE, COMEDY, OFFICE|businessproposal.png|NETFLIX, WAVVE
별똥별|이성경, 김영대, 윤종훈, 김윤혜, 박소진, 이정신 外|하늘의 별과 같은 스타들의 뒤에서 그들을 빛나게 하기 위해 피, 땀, 눈물을 흘리는 사람들의 리얼한 현장 이야기를 그린 로맨틱 코미디|2022|15|16부작|ROMANCE, COMEDY|shootingstar.png|NETFLIX, TVING
왜 오수재인가|서현진, 황인엽, 허준호, 배인혁, 지승현, 이주우 外|‘살기 위해, 가장 위에서, 더 독하게’ 성공만을 좇다 속이 텅 비어버린 차가운 변호사 오수재와 그런 그녀를 지키기 위해서라면 무엇도 두렵지 않은 로스쿨 학생 공찬의 아프지만 설레는 이야기|2022|15|16부작|MYSTERY, COURT, ROMANCE|whyher.png|COUPANGPLAY, WAVVE
